Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Average,13.1,13.1,,0.0,,109.1,,52.4%,,14.9%,,25.6%,,20.0,,109.1,,52.4%,,14.9%,,25.6%,,20.0
Milwaukee,24,3,1,+13.2,2,115.1,1,56.3%,8,13.8%,26,23.4%,11,20.2,1,101.9,2,49.4%,19,14.6%,1,21.7%,4,17.2
Dallas,17,8,2,+8.7,1,117.4,4,54.7%,1,12.7%,9,26.9%,7,22.0,14,108.7,12,51.2%,30,12.6%,7,24.4%,8,17.9
LA Lakers,24,3,3,+8.6,4,113.0,3,54.9%,17,15.1%,6,27.4%,18,19.3,5,104.4,8,50.7%,4,16.2%,6,24.2%,18,19.9
Boston,17,7,4,+7.4,5,112.1,15,52.4%,3,13.0%,16,25.6%,13,20.1,6,104.6,9,50.8%,2,16.8%,24,27.2%,14,19.3
Philadelphia,20,8,5,+6.0,12,110.2,6,54.2%,26,16.1%,7,27.3%,14,20.1,4,104.2,11,51.0%,17,14.8%,2,21.9%,20,21.5
LA Clippers,20,8,6,+5.8,9,110.9,21,51.9%,20,15.5%,3,28.2%,3,24.1,8,105.1,5,49.8%,11,15.0%,11,25.0%,22,21.8
Toronto,17,8,7,+5.0,18,108.7,17,52.4%,15,15.0%,25,23.6%,10,20.7,2,103.7,1,49.0%,3,16.7%,29,28.9%,6,17.6
Indiana,18,9,8,+5.0,15,109.7,12,52.9%,7,13.7%,22,24.5%,27,17.1,7,104.7,4,49.7%,14,14.9%,18,26.0%,16,19.4
Houston,17,9,9,+4.8,3,114.1,9,53.6%,12,14.5%,11,26.5%,1,24.7,16,109.3,16,52.8%,10,15.2%,19,26.1%,10,18.4
Miami,19,7,10,+4.7,7,111.1,2,54.9%,29,16.6%,17,25.5%,2,24.6,9,106.3,13,51.3%,9,15.3%,3,23.0%,19,21.5
Denver,17,8,11,+4.5,19,108.3,25,50.9%,6,13.7%,4,27.6%,30,16.1,3,103.8,3,49.6%,18,14.7%,10,24.9%,12,18.7
Utah,15,11,12,+1.2,20,107.8,10,53.5%,25,16.0%,29,22.6%,6,22.7,11,106.6,10,50.9%,26,13.3%,4,23.3%,11,18.5
Brooklyn,14,12,13,+0.7,14,109.8,16,52.4%,19,15.5%,1,28.7%,17,19.3,15,109.1,6,50.5%,27,13.3%,22,26.7%,17,19.6
Phoenix,11,14,14,+0.6,10,110.5,11,52.9%,5,13.5%,28,23.2%,8,21.8,17,109.8,23,54.0%,5,16.1%,9,24.8%,29,23.9
Detroit,11,15,15,+0.4,8,111.1,5,54.4%,27,16.2%,10,26.8%,15,20.0,19,110.7,20,53.2%,23,13.9%,15,25.5%,7,17.7
Oklahoma City,11,14,16,+0.2,21,107.7,14,52.5%,11,14.0%,30,20.5%,4,23.1,13,107.5,14,51.6%,21,14.5%,16,25.8%,5,17.3
Orlando,12,14,17,-0.7,24,106.3,28,49.6%,10,13.9%,14,25.9%,16,19.7,12,107.0,17,52.9%,16,14.9%,5,23.5%,2,15.9
Portland,10,16,18,-1.0,11,110.4,18,52.1%,2,12.9%,23,24.4%,19,19.2,20,111.4,7,50.7%,28,13.1%,28,28.1%,28,23.7
Minnesota,10,15,19,-2.0,13,110.0,20,52.0%,13,14.5%,12,26.4%,5,23.1,22,112.0,18,53.0%,24,13.9%,17,25.9%,21,21.7
Chicago,10,18,20,-2.3,28,104.0,27,50.2%,18,15.4%,20,24.7%,20,19.1,10,106.4,15,52.1%,1,17.9%,23,26.8%,30,24.6
San Antonio,10,15,21,-3.3,17,108.9,23,51.6%,4,13.3%,27,23.3%,12,20.1,23,112.2,21,53.3%,29,12.8%,8,24.4%,13,18.9
Sacramento,12,14,22,-3.4,22,107.2,13,52.6%,24,16.0%,15,25.6%,29,16.1,18,110.6,22,54.0%,8,15.7%,21,26.5%,15,19.4
Memphis,9,17,23,-5.6,25,106.0,19,52.0%,23,15.7%,21,24.6%,28,17.0,21,111.6,19,53.2%,20,14.5%,13,25.2%,26,23.4
New Orleans,6,21,24,-5.9,16,109.1,8,53.7%,21,15.5%,19,25.0%,26,17.5,29,115.0,27,55.2%,15,14.9%,20,26.4%,24,23.0
Charlotte,12,17,25,-6.3,23,107.1,22,51.8%,22,15.7%,13,26.2%,24,18.3,25,113.5,26,55.0%,12,15.0%,26,27.4%,3,16.7
Washington,7,17,26,-6.4,6,112.0,7,53.8%,9,13.8%,24,24.0%,23,18.4,30,118.4,30,57.1%,13,14.9%,27,27.8%,25,23.1
Atlanta,6,21,27,-9.4,26,105.0,24,51.2%,30,16.8%,8,26.9%,21,18.9,27,114.3,25,54.5%,6,15.9%,30,29.1%,27,23.7
New York,6,21,28,-9.4,30,103.4,30,48.6%,16,15.1%,2,28.4%,22,18.6,24,112.8,24,54.2%,22,14.5%,14,25.3%,23,22.0
Cleveland,6,20,29,-9.9,27,104.6,26,50.3%,28,16.4%,5,27.6%,25,17.6,28,114.6,28,56.0%,25,13.4%,12,25.2%,1,15.4
Golden State,5,23,30,-10.4,29,103.7,29,48.7%,14,14.9%,18,25.3%,9,21.3,26,114.1,29,56.1%,7,15.8%,25,27.2%,9,18.2