Team,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Average,,109.1,,93.3,,26.2%,,80.0%,,18.9,,16.9,,108.9
Atlanta,26,105.0,26,88.8,9,27.6%,14,79.7%,9,20.1,10,17.9,13,109.6
Boston,5,112.1,6,97.1,5,28.5%,4,78.3%,12,19.2,7,18.3,25,101.7
Brooklyn,14,109.8,19,92.1,4,29.0%,10,79.3%,8,20.3,2,19.3,26,101.4
Charlotte,23,107.1,24,90.4,12,27.4%,13,79.7%,11,19.4,12,17.1,11,111.5
Chicago,28,104.0,30,85.2,20,25.3%,3,78.1%,15,18.9,23,15.9,5,117.2
Cleveland,27,104.6,27,88.2,7,27.8%,28,82.1%,20,17.7,17,16.6,20,103.8
Dallas,1,117.4,2,99.8,10,27.6%,20,80.6%,1,26.0,3,19.0,1,132.8
Denver,19,108.3,22,90.7,1,30.1%,23,81.2%,5,20.8,6,18.5,13,109.6
Detroit,8,111.1,11,94.8,15,27.0%,25,81.5%,7,20.5,5,18.5,16,108.4
Golden State,29,103.7,28,87.2,19,25.5%,26,81.7%,28,15.6,26,15.6,30,97.3
Houston,3,114.1,9,96.4,13,27.3%,8,79.0%,17,18.8,20,16.3,10,112.8
Indiana,15,109.7,13,94.7,24,24.5%,22,81.0%,27,16.6,24,15.8,24,101.7
LA Clippers,9,110.9,16,94.0,2,29.3%,7,79.0%,13,19.2,8,18.3,23,102.4
LA Lakers,4,113.0,10,95.7,11,27.4%,9,79.1%,4,21.0,9,18.1,9,113.5
Memphis,25,106.0,21,91.2,22,24.7%,5,78.7%,14,19.0,22,16.0,6,117.2
Miami,7,111.1,7,96.8,16,26.8%,27,82.1%,26,17.1,25,15.7,17,107.2
Milwaukee,2,115.1,1,100.7,26,22.8%,1,76.3%,18,18.7,15,16.8,15,109.0
Minnesota,13,110.0,14,94.6,8,27.8%,18,80.3%,3,21.3,4,18.6,11,111.5
New Orleans,16,109.1,18,93.1,14,27.0%,19,80.5%,24,17.3,19,16.4,22,103.1
New York,30,103.4,29,86.4,6,28.5%,6,78.8%,2,22.5,1,20.8,19,104.2
Oklahoma City,21,107.7,4,97.5,30,21.7%,29,82.4%,30,15.1,30,12.7,4,117.6
Orlando,24,106.3,25,89.3,18,25.7%,12,79.6%,21,17.6,13,17.0,27,100.5
Philadelphia,12,110.2,15,94.3,3,29.3%,16,80.1%,25,17.1,14,16.8,28,100.0
Phoenix,10,110.5,8,96.4,29,22.6%,17,80.2%,29,15.4,29,14.7,21,103.3
Portland,11,110.4,5,97.2,21,25.1%,24,81.4%,22,17.5,11,17.2,29,98.9
Sacramento,22,107.2,23,90.6,17,26.2%,15,80.1%,10,19.5,16,16.6,8,114.0
San Antonio,17,108.9,17,93.7,28,22.7%,21,80.8%,19,17.9,18,16.5,18,106.3
Toronto,18,108.7,20,91.9,26,22.8%,2,76.9%,16,18.9,27,15.6,3,118.2
Utah,20,107.8,12,94.8,25,22.9%,30,83.5%,23,17.5,28,14.8,7,116.1
Washington,6,112.0,3,97.7,23,24.5%,11,79.4%,6,20.6,21,16.2,2,125.3